osm_id,name,type,wkt
3371651669,"E2/39/A-160 Z","yes","POINT(16.183835 50.423305)"
3371651671,"F1/10/A-200","yes","POINT(16.16336 50.472)"
3371651672,"F1/11/A-160 Z","yes","POINT(16.1635 50.4701)"
3371651673,"F1/12/A-160","yes","POINT(16.16154 50.465297)"
3371651674,"F1/13/A-180","yes","POINT(16.162813 50.4628)"
3371651675,"F1/14/B1-100","yes","POINT(16.162604 50.460406)"
3371651676,"F1/15/A-180","yes","POINT(16.164785 50.4596)"
3371651677,"F1/16/A-180","yes","POINT(16.16709 50.458283)"
3371651678,"F1/17/A-120 Z","yes","POINT(16.166565 50.456067)"
3371651679,"F1/18/A-180","yes","POINT(16.16822 50.454354)"
3371651680,"F1/19/E","yes","POINT(16.167057 50.45291)"
3371651682,"F1/20/A-180","yes","POINT(16.170408 50.451508)"
3371651688,"F1/206/B2-80","yes","POINT(16.157905 50.47749)"
3371651689,"F1/207/E","yes","POINT(16.15803 50.47651)"
3371651690,"F1/208/A-140","yes","POINT(16.157 50.47543)"
3371651691,"F1/209/A-120","yes","POINT(16.15729 50.47307)"
3371651692,"F1/21/A-120 Z","yes","POINT(16.16959 50.450095)"
3371651993,"F1/210/A-140","yes","POINT(16.158147 50.471683)"
3371651994,"F1/211/A-160","yes","POINT(16.159955 50.47031)"
3371651995,"F1/213/C1","yes","POINT(16.158243 50.462643)"
3371651996,"F1/214/A-120","yes","POINT(16.159328 50.461358)"
3371651997,"F1/215/E","yes","POINT(16.15935 50.460515)"
3371651998,"F1/216/A-120","yes","POINT(16.161183 50.458293)"
3371651999,"F1/217/B2-100 Z","yes","POINT(16.162716 50.457072)"
3371652000,"F1/218/B1-80 Z","yes","POINT(16.162933 50.455393)"
3371652001,"F1/219/C1 Z","yes","POINT(16.16128 50.45246)"
3371652002,"F1/220/B1-80 Z","yes","POINT(16.163415 50.450005)"
3371652007,"F1/8/A-120","yes","POINT(16.16122 50.47493)"
3371652008,"F1/9/A-160","yes","POINT(16.16227 50.473605)"
3371652016,"F2/235/A-180","yes","POINT(16.095345 50.522545)"
3371652017,"F2/236/A-160","yes","POINT(16.09641 50.520375)"
3371652018,"F2/237/A-120","yes","POINT(16.097277 50.519113)"
3371652019,"F2/238/A-140","yes","POINT(16.09943 50.517907)"
3371652020,"F2/239/A-120","yes","POINT(16.101577 50.516347)"
3371652021,"F2/240/C1","yes","POINT(16.101863 50.516033)"
3371652030,"F2/254/A-140","yes","POINT(16.125207 50.504913)"
3371652031,"F2/255/A-140 Z","yes","POINT(16.12667 50.50442)"
3371652032,"F2/256/A-120 Z","yes","POINT(16.12775 50.503803)"
3371652033,"F2/258/A-120","yes","POINT(16.131063 50.502683)"
3371652034,"F2/259/A-180","yes","POINT(16.133277 50.502677)"
3665708903,,"switch","POINT(16.0669484 50.521041)"
3371652035,"F2/260/A-160","yes","POINT(16.134197 50.50218)"
3371652036,"F2/261/A-160","yes","POINT(16.136397 50.500973)"
3371652037,"F2/262/A-160","yes","POINT(16.137737 50.499927)"
3371652038,"F2/263/A-120","yes","POINT(16.138573 50.499367)"
3371652039,"F2/265/D2","yes","POINT(16.140637 50.498753)"
3371652040,"F2/266/D1","yes","POINT(16.140897 50.498553)"
3371652059,"F2/59/A-160","yes","POINT(16.097277 50.523593)"
3371652060,"F2/60/A-140","yes","POINT(16.098213 50.521387)"
3371652061,"F2/61/A-140","yes","POINT(16.09991 50.5196)"
3371652062,"F2/62/A-160","yes","POINT(16.102015 50.518113)"
