lau1;kod_okres;naz_okres;nuts3;naz_kraj;pocet_obci;geom4326
CZ0524;40592;Rychnov nad Kněžnou;CZ052;Královéhradecký;80;MULTIPOLYGON(((16.3091054286665 50.3830596664649,16.3169632904635 50.3801720562836,16.3468424678756 50.3800512679517,16.3485239584505 50.3806764610395,16.3606230858813 50.3795618926476,16.3631609917176 50.3772895095932,16.3680152921092 50.3669658785599,16.3658619836713 50.3573317239182,16.3611395033423 50.3536715668001,16.3621501575227 50.3497555866237,16.3831705607005 50.3288109408049,16.3892557328141 50.3244903807848,16.3992637890273 50.3191906767633,16.4053373770778 50.3201456458578,16.4107863165024 50.3245926088211,16.4258129381517 50.3253080743407,16.4310869895261 50.3247303938994,16.435646697233 50.3216085323175,16.4645879801605 50.2956589203935,16.4684601235182 50.2858428611027,16.4897047810068 50.264273902142,16.5229004396218 50.2393290375552,16.5287745209661 50.2377141601871,16.5375127499854 50.2389486730485,16.5536031617928 50.2217107988067,16.5616171813038 50.2077761475263,16.5555492588966 50.1936449381044,16.5578326775157 50.1705823023842,16.5607238311329 50.1648888273141,16.5685327520178 50.1604274564718,16.5783600356065 50.1576845039957,16.5854169840038 50.1522741915004,16.5825100362557 50.1442133919108,16.5799666647447 50.1424551893506,16.5693509407208 50.138654011798,16.5217545368085 50.1552305564076,16.5206083404118 50.1596030357987,16.4963858517762 50.1675559554334,16.4901308088573 50.1669794555689,16.48083376549 50.1643008077154,16.4777311848211 50.1613474557591,16.4780722507378 50.1460703333247,16.4743663391938 50.1385492944497,16.4722357675677 50.13688696662,16.4518452579124 50.1283458902192,16.4086114756339 50.1162241294799,16.3920410454165 50.1137217708524,16.351421067925 50.1004725499564,16.3406625059052 50.0923688538264,16.3252716052804 50.068262703187,16.3214134600613 50.056410940019,16.3302885166062 50.0485955748013,16.3326645282747 50.0403208323935,16.2726205253059 50.0456787879224,16.2541634634791 50.0429832770737,16.1970484668066 50.0383967143322,16.195134510934 50.0389447204873,16.1817404755239 50.0511217564656,16.1753903144822 50.0588708773218,16.1510593202495 50.0645397640721,16.1391167788072 50.0627888489827,16.1032582427395 50.0831601240428,16.0716972801208 50.0938935439098,16.0488536419476 50.112524251967,16.0096200054082 50.1126320652985,16.0093797251114 50.1262831956648,15.9921884653329 50.1461495986182,15.9922214222362 50.1573748270753,15.992540684159 50.1775527976034,16.0151588308976 50.1980975115078,16.0215638894774 50.1992823189951,16.0518546171792 50.1965903825366,16.0594451871467 50.2056806245001,16.0668344101386 50.2182981388278,16.0632073686065 50.2286157399966,16.0208180396963 50.259419865204,15.9961094205268 50.2672633389672,15.9893518324688 50.2717143180853,15.9765420564437 50.2910888837233,15.9703779502416 50.3022938808185,15.9740031356802 50.3029942570417,15.9849386231098 50.3030466173691,16.0008843744692 50.3027713904292,16.0099649310798 50.3018888162746,16.0161188228094 50.3028727728384,16.0292339849572 50.3163645810354,16.0523266257165 50.3132997052371,16.0537934733655 50.3115718447907,16.0560527407964 50.3012518269857,16.0763295594919 50.2969459686151,16.116296123325 50.2982352576275,16.1208700418617 50.2994267491022,16.1277869349268 50.3035203324394,16.1291314281929 50.3090998420265,16.1616302244382 50.3236065519661,16.2182024634183 50.3405607833687,16.2634854915436 50.3474863003559,16.2829105062398 50.3620825094411,16.2817104331498 50.3670156633906,16.2934255893463 50.3739468256313,16.2995150189473 50.3809201609881,16.3023314809926 50.3821688598884,16.3091054286665 50.3830596664649)))
CZ0525;40606;Trutnov;CZ052;Královéhradecký;75;MULTIPOLYGON(((15.5402531771459 50.7801931912058,15.585448041704 50.7786744173223,15.6017679311749 50.7768059099947,15.6802471889287 50.7547388930626,15.6839219077945 50.7525851393009,15.6878539524092 50.7460875304558,15.6886077085289 50.7428161055876,15.6952414794688 50.7399409990895,15.7057065476802 50.7372595025683,15.7474569277941 50.7398754587741,15.7690138580223 50.7429314899418,15.7900238581319 50.7482509080639,15.7999643429107 50.7526262671659,15.810354760837 50.7550060145755,15.8161950525365 50.7553230489431,15.8261152169659 50.7454057479698,15.8627680854513 50.6791810998997,15.8945098756232 50.6769196754918,15.918023018603 50.6833653475344,15.9553583880008 50.6912871463538,15.9612303841229 50.6918753158465,15.9672651068251 50.6917009769591,15.9885950769601 50.6848960837713,15.99115325425 50.6831686248838,16.0034995370863 50.6589274533896,16.0071992479709 50.6361684429955,15.9951157616946 50.6210199924096,15.9867149404123 50.6152216242023,15.9865813967498 50.6133302786297,15.9913568243254 50.6102111653208,16.0248353849866 50.5986247421528,16.0301526838015 50.6043820074221,16.04050284133 50.6124059480022,16.0443217469103 50.6136865621147,16.0560838842621 50.6097053345085,16.0554866675428 50.6031493293437,16.0580776000153 50.5917381416809,16.0700089461465 50.5938234338749,16.0640034260948 50.602481532328,16.0654751811188 50.6110446859244,16.0752601330738 50.6134645722131,16.0906461581578 50.6106553094481,16.1137753634929 50.6039149162833,16.120027981859 50.5986178651396,16.1153499718577 50.5817119312685,16.1207315122301 50.5735435114966,16.1287622853662 50.5703319921765,16.1395545727735 50.5522568345441,16.1257232302752 50.5364713879763,16.1060217012879 50.5271473661142,16.1030671206409 50.5167677286256,16.1143021159288 50.5055424166133,16.1040434229928 50.4942895008145,16.0444724380841 50.4746479473509,16.0070546469459 50.4687453663892,16.0003442259048 50.4683040875289,15.9911652550678 50.4698473559157,15.9840243254529 50.472679350807,15.9811303673771 50.4767601910972,15.9823267112185 50.4784688688756,15.9773248270911 50.4798106569408,15.9648440845615 50.4789285493418,15.9437445148275 50.4702500562697,15.929824498435 50.4350410564756,15.9329596181416 50.4208081579523,15.9448370376339 50.4073834018332,15.9517554061766 50.4070520528685,15.950782254406 50.4048778640409,15.9458486520383 50.4015285091099,15.9291280793671 50.3956942030233,15.9186709608549 50.3984707552075,15.9091769231148 50.4037272586464,15.9059872326045 50.4064179497957,15.899035392361 50.4076739807882,15.8963418860288 50.4069527297479,15.8887122007413 50.3943593013255,15.8545244294058 50.369396860342,15.835684664817 50.3610368840788,15.8107800575566 50.3609157126303,15.792304344118 50.358339736348,15.7926680054067 50.3553321123512,15.7990654343247 50.3467520184871,15.7982675177327 50.345612322338,15.795328566306 50.3450036548702,15.785797477557 50.3474191587442,15.7793005299015 50.350195323015,15.7699786639452 50.3469326728728,15.7460668621259 50.3404971210491,15.740541505968 50.3396674773468,15.728203923276 50.3462271438262,15.7220344653885 50.3591207288721,15.7148284238137 50.3881156604219,15.6904303800181 50.4197656296071,15.6878101346671 50.4299787354865,15.6875207562912 50.4354672169504,15.6615705844565 50.4508294284743,15.6585038053843 50.4507929340847,15.6496642312252 50.4526256246628,15.6421091364026 50.4637746384697,15.6415752146517 50.4664219707727,15.6449691261098 50.4741840336822,15.6471570127724 50.4752670561179,15.6496258061108 50.4750898750296,15.6546270944872 50.4772734021326,15.6538188345149 50.4910215773254,15.6502452616123 50.4940179852674,15.6331246358808 50.496532924287,15.5980203924478 50.5049451305861,15.5863168945548 50.5143219781827,15.5844070953535 50.5181098088516,15.6062653337247 50.5212057274927,15.6322336709847 50.5227389311966,15.632578886761 50.5253156956579,15.6266062009468 50.5358142882574,15.6035927328439 50.5563909038133,15.5868797854955 50.5678679390844,15.5711419081089 50.581178393209,15.5811251432515 50.5990696129221,15.5940903596538 50.6110378905046,15.5615174382365 50.6822972011265,15.5650536145929 50.7086307235593,15.5695150818941 50.7293423750553,15.5736259191489 50.7358458455991,15.5690625788164 50.7438875580688,15.5624260519929 50.7475194021569,15.5448083122433 50.753619432075,15.5390986786033 50.7576656888951,15.5354339151107 50.763252344,15.5352077601742 50.779368083625,15.5402531771459 50.7801931912058)))
CZ0521;40568;Hradec Králové;CZ052;Královéhradecký;104;MULTIPOLYGON(((15.5168235208519 50.3394795316592,15.5184815850625 50.3402437901416,15.5216101822789 50.3398622196007,15.536744073605 50.335383938072,15.5404647102742 50.3276335961379,15.5483090835331 50.319820024499,15.5924063633466 50.2981073662247,15.6017907393234 50.2954461241307,15.6109358927264 50.2942937575755,15.6145049559308 50.2948829605438,15.6216738091004 50.2993979621276,15.6224774712447 50.3032788268842,15.6273465291756 50.3081987231185,15.6398997271092 50.3151122868555,15.6657588046883 50.3222031997189,15.6934468451556 50.323180713652,15.7021881621864 50.3218786068141,15.7263006683202 50.3211659952161,15.7333864640044 50.3223126026291,15.740541505968 50.3396674773468,15.7460668621259 50.3404971210491,15.7699786639452 50.3469326728728,15.7793005299015 50.350195323015,15.785797477557 50.3474191587442,15.795328566306 50.3450036548702,15.7982675177327 50.345612322338,15.7990654343247 50.3467520184871,15.8072511248543 50.3417869565279,15.8533362358953 50.326737640185,15.8642696775749 50.3319452098717,15.8681258915154 50.3318835816537,15.8742165882946 50.3303637270163,15.8762811892352 50.3296499899501,15.8758446517204 50.3277795395183,15.8798977345464 50.327093237761,15.8818566010299 50.3271033073832,15.8854996167729 50.3286274590489,15.8866746680962 50.3193734007466,15.88547313439 50.315153149198,15.8814274452796 50.3080493562574,15.884266134418 50.3028517659286,15.90186735084 50.2997121861414,15.9440678049112 50.3003489238018,15.9499874116223 50.3013852531969,15.952154086829 50.3028246725332,15.9538084209189 50.3072085950284,15.9576344986842 50.3092218782357,15.9600390124993 50.3094637891696,15.9652468347913 50.3075468043988,15.9703779502416 50.3022938808185,15.9765420564437 50.2910888837233,15.9893518324688 50.2717143180853,15.9961094205268 50.2672633389672,16.0208180396963 50.259419865204,16.0632073686065 50.2286157399966,16.0668344101386 50.2182981388278,16.0594451871467 50.2056806245001,16.0518546171792 50.1965903825366,16.0215638894774 50.1992823189951,16.0151588308976 50.1980975115078,15.992540684159 50.1775527976034,15.9922214222362 50.1573748270753,15.9641431638586 50.1577810084657,15.9450541586862 50.1622215880775,15.9170204002668 50.1706045454396,15.8877968674146 50.1624627642469,15.8479114028827 50.1381802847758,15.8413010346208 50.1326243001765,15.8345075190638 50.1317305408219,15.8164565446743 50.1359948871386,15.8047645378897 50.1412830935278,15.8029161411234 50.1459484181078,15.8044104308767 50.1519533027819,15.8072680168273 50.1569173600328,15.8005343257844 50.1627391720057,15.7813715227376 50.1737056161719,15.7762145655079 50.1756602507008,15.7711509792835 50.1729940160701,15.7666678479959 50.1673836270048,15.7561797345756 50.1685260876989,15.7546696732638 50.1638246483476,15.7459145212578 50.1645102053683,15.7403986067754 50.1611009083979,15.7395286959854 50.1546287070477,15.7439382451244 50.1542759136406,15.7404999641043 50.1436339921862,15.7389236972793 50.1416394205996,15.6897089682061 50.1257079119248,15.6780964745073 50.1259691817722,15.6466353615306 50.137561843741,15.5956314733288 50.1341710509048,15.5856142378365 50.1340940791994,15.580589056804 50.136692807499,15.5806160344816 50.1409992003265,15.5653527084355 50.1461359241039,15.5337345514972 50.140178360161,15.5214303502337 50.1350292688418,15.5193524587946 50.1292944093238,15.5194654840502 50.1232985424293,15.4724231964385 50.1010370426279,15.4667124325443 50.0991301582143,15.452136641019 50.0953065052943,15.4373798421839 50.1098874606916,15.4468945838623 50.1226075398494,15.4476134733411 50.1247653855794,15.4140556022889 50.1359431980287,15.381873206393 50.1455550974363,15.3762923429957 50.1458457885139,15.3697788414453 50.1440212302364,15.364894247393 50.1436393490881,15.3486948236313 50.1448007215245,15.3484863657883 50.1458054855038,15.3600816460369 50.1481375479937,15.3740024123001 50.1557789664979,15.3749478332095 50.1589729927383,15.3630509048612 50.1626336797026,15.3888593783293 50.1841003563016,15.3974427984468 50.1978517155733,15.3979751849366 50.2060980910715,15.3910565421964 50.2178649386478,15.3718979990542 50.2279928917916,15.3729891850321 50.2436905191312,15.3786079564105 50.2650922507014,15.3789180281136 50.2752962165218,15.3820480232132 50.2791595568967,15.4206472771571 50.2966790868284,15.4270035513852 50.2948783259329,15.4352214218135 50.2947421658051,15.4518836093202 50.3040461746132,15.451682893049 50.3108984897225,15.4477677661793 50.3128767231027,15.4476240064633 50.3230735142006,15.461032009962 50.3297754147852,15.4659235627297 50.3300766567769,15.4712157756373 50.3292711502108,15.4930737838398 50.3176245146822,15.5023182768775 50.324881091812,15.5033651973162 50.3272263080338,15.5030925789626 50.3362917461159,15.5127864838313 50.342632780736,15.5164018834664 50.3415849962156,15.5168235208519 50.3394795316592)))
CZ0522;40576;Jičín;CZ052;Královéhradecký;111;MULTIPOLYGON(((15.1499242075981 50.5206586469542,15.2232070816728 50.4941994784289,15.2387076265807 50.4956306315973,15.2424555973075 50.4983126368911,15.2428903793287 50.5044854485219,15.2473545670742 50.5118159806824,15.265780857409 50.5256489787034,15.338700817869 50.5120197946536,15.3923597628071 50.4798282668958,15.4017664302093 50.4798559540441,15.4281891594063 50.4824881013526,15.4415783518174 50.4871806642801,15.4501519898618 50.4964120573645,15.4520052188874 50.501864352239,15.4425050642044 50.5034607731355,15.43743271273 50.5165742332237,15.4365147554014 50.5217172874534,15.4392688650254 50.5237660860106,15.4792354101948 50.5327367354983,15.5138319984491 50.5179412713218,15.5354197188407 50.5136790776486,15.5440160315682 50.5161993651864,15.5495125766979 50.520467936588,15.5612569951539 50.5242353965641,15.5707434379175 50.5243687336305,15.5863168945548 50.5143219781827,15.5980203924478 50.5049451305861,15.6331246358808 50.496532924287,15.6502452616123 50.4940179852674,15.6538188345149 50.4910215773254,15.6546270944872 50.4772734021326,15.6496258061108 50.4750898750296,15.6471570127724 50.4752670561179,15.6449691261098 50.4741840336822,15.6415752146517 50.4664219707727,15.6421091364026 50.4637746384697,15.6496642312252 50.4526256246628,15.6585038053843 50.4507929340847,15.6615705844565 50.4508294284743,15.6875207562912 50.4354672169504,15.6878101346671 50.4299787354865,15.6904303800181 50.4197656296071,15.7148284238137 50.3881156604219,15.7220344653885 50.3591207288721,15.728203923276 50.3462271438262,15.740541505968 50.3396674773468,15.7333864640044 50.3223126026291,15.7263006683202 50.3211659952161,15.7021881621864 50.3218786068141,15.6934468451556 50.323180713652,15.6657588046883 50.3222031997189,15.6398997271092 50.3151122868555,15.6273465291756 50.3081987231185,15.6224774712447 50.3032788268842,15.6216738091004 50.2993979621276,15.6145049559308 50.2948829605438,15.6109358927264 50.2942937575755,15.6017907393234 50.2954461241307,15.5924063633466 50.2981073662247,15.5483090835331 50.319820024499,15.5404647102742 50.3276335961379,15.536744073605 50.335383938072,15.5216101822789 50.3398622196007,15.5184815850625 50.3402437901416,15.5168235208519 50.3394795316592,15.5164018834664 50.3415849962156,15.5127864838313 50.342632780736,15.5030925789626 50.3362917461159,15.5033651973162 50.3272263080338,15.5023182768775 50.324881091812,15.4930737838398 50.3176245146822,15.4712157756373 50.3292711502108,15.4659235627297 50.3300766567769,15.461032009962 50.3297754147852,15.4476240064633 50.3230735142006,15.4477677661793 50.3128767231027,15.451682893049 50.3108984897225,15.4518836093202 50.3040461746132,15.4352214218135 50.2947421658051,15.4270035513852 50.2948783259329,15.4206472771571 50.2966790868284,15.3820480232132 50.2791595568967,15.3789180281136 50.2752962165218,15.3780745157151 50.2846816993997,15.3542195968817 50.297957815621,15.2910171938958 50.2896916721226,15.2547690078413 50.2908083923104,15.2367371885094 50.2859180058621,15.213922996238 50.2953622501812,15.2085130993528 50.2986064759616,15.2035782986105 50.3089184402542,15.2069567605683 50.3134879224298,15.2136855952122 50.3155176044945,15.2173308848649 50.3147447054824,15.2178040508286 50.3180582379095,15.1887063521971 50.3398840498512,15.1689016430127 50.3456295642846,15.1540559675491 50.3390651504116,15.1294074308377 50.3460320227406,15.1268184711089 50.3493209917514,15.1042313812606 50.376105246498,15.1178858476541 50.388899178652,15.1369811887472 50.3959116792261,15.1550825976733 50.407508145522,15.1623035549981 50.4272624563995,15.1547785117579 50.4380493616217,15.1447451443702 50.4750492316402,15.1343244274275 50.4895013660533,15.1312130358124 50.4923931675785,15.1240906439485 50.4959539893601,15.1191817201769 50.4965792961538,15.1174085363602 50.4975818977567,15.1134772591057 50.5033827526534,15.1134074369985 50.5059602786636,15.1151160245898 50.5076135058614,15.1381106818661 50.5197381646894,15.146930575293 50.5226753482109,15.1499242075981 50.5206586469542)))
CZ0523;40584;Náchod;CZ052;Královéhradecký;78;MULTIPOLYGON(((16.1040987514261 50.663111116327,16.1056417957375 50.6620151200702,16.1117128325675 50.6604180601812,16.1483585861706 50.6532996010504,16.1712942107894 50.6441613782752,16.1769479138958 50.6396219249489,16.1790469700418 50.6343221432541,16.1790609719798 50.6287232049076,16.1838872963988 50.6273179946597,16.1875426738627 50.6272374730232,16.2172558278266 50.633231740675,16.2205201747653 50.6364692442355,16.2211564106123 50.6457888271589,16.2269807175674 50.6621073051113,16.2307317469534 50.6684252670651,16.2349094734691 50.6716668095048,16.3131173123086 50.6633051583146,16.3142092304623 50.664574815159,16.3221539067371 50.6665996546038,16.336545638594 50.6625443223144,16.3730368296149 50.6371285648635,16.3862981155922 50.6248260734305,16.3944668369472 50.6187100054154,16.4225548395225 50.6066854717066,16.431803215233 50.5985728816969,16.4434701651768 50.5862420674321,16.444912914766 50.5795683611,16.4267016340875 50.5709263877963,16.4110818153766 50.5485186918551,16.3997355519826 50.5273311232266,16.360286702224 50.5012748126796,16.3458694908184 50.4957138771231,16.3439612508072 50.4956617457017,16.3347174212885 50.5008868924885,16.3102833484763 50.4986144354208,16.30690629888 50.4919830531773,16.2940863160513 50.4792388041201,16.283683799294 50.4797921245602,16.2734615757567 50.4825419633204,16.2587093832639 50.48017625469,16.2050058772739 50.4480149792965,16.1988394826642 50.4417860745841,16.195722128725 50.4324378156099,16.1982863714516 50.428841307022,16.2280371822059 50.4110266913117,16.2325490021298 50.413043911478,16.2381060713575 50.4140819377757,16.2526727321034 50.4057580849141,16.2640414048921 50.3923916088144,16.2672328250261 50.3871835154597,16.2669459540512 50.3847155625734,16.2786443626287 50.3674466461691,16.2817104331498 50.3670156633906,16.2829105062398 50.3620825094411,16.2634854915436 50.3474863003559,16.2182024634183 50.3405607833687,16.1616302244382 50.3236065519661,16.1291314281929 50.3090998420265,16.1277869349268 50.3035203324394,16.1208700418617 50.2994267491022,16.116296123325 50.2982352576275,16.0763295594919 50.2969459686151,16.0560527407964 50.3012518269857,16.0537934733655 50.3115718447907,16.0523266257165 50.3132997052371,16.0292339849572 50.3163645810354,16.0161188228094 50.3028727728384,16.0099649310798 50.3018888162746,16.0008843744692 50.3027713904292,15.9849386231098 50.3030466173691,15.9740031356802 50.3029942570417,15.9703779502416 50.3022938808185,15.9652468347913 50.3075468043988,15.9600390124993 50.3094637891696,15.9576344986842 50.3092218782357,15.9538084209189 50.3072085950284,15.952154086829 50.3028246725332,15.9499874116223 50.3013852531969,15.9440678049112 50.3003489238018,15.90186735084 50.2997121861414,15.884266134418 50.3028517659286,15.8814274452796 50.3080493562574,15.88547313439 50.315153149198,15.8866746680962 50.3193734007466,15.8854996167729 50.3286274590489,15.8818566010299 50.3271033073832,15.8798977345464 50.327093237761,15.8758446517204 50.3277795395183,15.8762811892352 50.3296499899501,15.8742165882946 50.3303637270163,15.8681258915154 50.3318835816537,15.8642696775749 50.3319452098717,15.8533362358953 50.326737640185,15.8072511248543 50.3417869565279,15.7990654343247 50.3467520184871,15.7926680054067 50.3553321123512,15.792304344118 50.358339736348,15.8107800575566 50.3609157126303,15.835684664817 50.3610368840788,15.8545244294058 50.369396860342,15.8887122007413 50.3943593013255,15.8963418860288 50.4069527297479,15.899035392361 50.4076739807882,15.9059872326045 50.4064179497957,15.9091769231148 50.4037272586464,15.9186709608549 50.3984707552075,15.9291280793671 50.3956942030233,15.9458486520383 50.4015285091099,15.950782254406 50.4048778640409,15.9517554061766 50.4070520528685,15.9448370376339 50.4073834018332,15.9329596181416 50.4208081579523,15.929824498435 50.4350410564756,15.9437445148275 50.4702500562697,15.9648440845615 50.4789285493418,15.9773248270911 50.4798106569408,15.9823267112185 50.4784688688756,15.9811303673771 50.4767601910972,15.9840243254529 50.472679350807,15.9911652550678 50.4698473559157,16.0003442259048 50.4683040875289,16.0070546469459 50.4687453663892,16.0444724380841 50.4746479473509,16.1040434229928 50.4942895008145,16.1143021159288 50.5055424166133,16.1030671206409 50.5167677286256,16.1060217012879 50.5271473661142,16.1257232302752 50.5364713879763,16.1395545727735 50.5522568345441,16.1287622853662 50.5703319921765,16.1207315122301 50.5735435114966,16.1153499718577 50.5817119312685,16.120027981859 50.5986178651396,16.1137753634929 50.6039149162833,16.0906461581578 50.6106553094481,16.0752601330738 50.6134645722131,16.0654751811188 50.6110446859244,16.0640034260948 50.602481532328,16.0700089461465 50.5938234338749,16.0580776000153 50.5917381416809,16.0554866675428 50.6031493293437,16.0560838842621 50.6097053345085,16.0623960472552 50.6316873133749,16.0668432853066 50.637810057272,16.0701349648944 50.6402091965172,16.0760429508358 50.6424168249258,16.0954018670696 50.6532310735062,16.1040987514261 50.663111116327)))
