sloupec,vyznam
"kod_obec","Kód obce"
"naz_obec","Název obce"
"eao","Počet ekonomicky aktivních lidí - přepočteno na 1 000 obyvatel"
"dane_idx","Daně z příjmů obyvatelstva ze závislé a nezávislé činnosti - na hlavu"
"nez_idx","Nezaměstnanost"
"cenovy_idx","Celkový index cenové citlivosti (bohatství) - teoretický rozsah hodnot: 8.4 nejchudší - 13.6 nejbohatší"
