nazev_banky,mesto,banka_id,wkt
"Českomoravská stavební spořitelna, a.s.","Rychnov nad Kněžnou","cmss","POINT(16.2741561295156 50.1634633445019)"
"Českomoravská záruční a rozvojová banka, a.s.","Hradec Králové","ceskomoravska_zarucni_a_rozvojova_banka","POINT(15.8291198230953 50.2138261237699)"
"Komerční banka, a.s.","Jaroměř","komercni_banka","POINT(15.917352324049 50.3554639387434)"
"UniCredit Bank Czech Republic and Slovakia, a.s."," Jičín","unicredit","POINT(15.3557416492612 50.436729466406)"
"GE Money Bank, a.s.","Dvůr Králové nad Labem","ge_money_bank","POINT(15.8137877423132 50.4333620848631)"
"Wüstenrot","Broumov","wustenrot","POINT(16.3304731200088 50.5868502373037)"
"Česká Spořitelna","Nové        Město        nad        Metují","ceska_sporitelna","POINT(16.1508876051603 50.3493914114227)"
"Komerční banka, a.s.","Hronov","komercni_banka","POINT(16.1812492484049 50.4802337355057)"
"Československá obchodní banka, a. s.","Jaroměř ","csob","POINT(15.9131539721908 50.3483334209517)"
"Českomoravská stavební spořitelna, a.s.","Vrchlabí","cmss","POINT(15.6109125597906 50.6220139879376)"
"mBank S.A., organizační složka","Hradec Králové","mbank","POINT(15.8489333308432 50.1970137399889)"
"Komerční banka, a.s.","Nové Město nad Metují","komercni_banka","POINT(16.1509815272085 50.3498337949555)"
"Česká Spořitelna","Libáň","ceska_sporitelna","POINT(15.2154828030392 50.3752068115881)"
"Česká Spořitelna","Červený        Kostelec","ceska_sporitelna","POINT(16.0931675050151 50.4761667116729)"
